Block number,Time,Gas used,Gas limit,Base fee per gas
12965546,1628174342,8227356,27983038,65374136610
12965547,1628174353,21934107,28010364,62007568804
12965548,1628174373,1458736,27983012,66395706731
12965549,1628174374,27943269,27955686,58961534514
12965550,1628174384,0,27982985,66325179132
12965551,1628174385,27992537,28010311,58034531741
12965552,1628174397,12103827,28037663,65279642243
12965553,1628174408,3177976,28065042,64164973909
12965554,1628174410,27358287,28092448,57960800077
12965555,1628174438,3977661,28119881,64827216828
12965556,1628174441,28126857,28147340,59016327105
12965557,1628174492,9351869,28174826,66382631353
12965558,1628174494,28088631,28202339,63593280750
12965559,1628174509,5410074,28174799,71478341537
12965560,1628174516,7064649,28147286,65974834467
12965561,1628174518,28089114,28174772,61867713634
12965562,1628174537,3820953,28202285,69554154701
12965563,1628174547,16311884,28229825,63215750904
12965564,1628174556,6292033,28257392,64445684490
12965565,1628174561,28271085,28284986,59977480992
12965566,1628174597,13968457,28257365,67467296950
12965567,1628174609,666552,28229771,67371658627
12965568,1628174612,28244668,28257338,59347890634
12965569,1628174620,7017869,28229744,66759724374
12965570,1628174625,2461941,28202177,62563848881
12965571,1628174626,28165879,28174637,56108763341
12965572,1628174641,5004044,28147124,63117998946
12965573,1628174643,28100851,28119638,58033555616
12965574,1628174645,4448600,28147097,65278056874
12965575,1628174651,28104138,28119611,59697570854
12965576,1628174661,28085141,28092152,67151555496
12965577,1628174723,5931207,28064720,75541310154
12965578,1628174745,13854494,28037315,70089877614
12965579,1628174765,24386998,28009936,69987280727
12965580,1628174791,1157442,28037288,76472569091
12965581,1628174796,3314393,28064667,67702737657
12965582,1628174797,28036932,28037262,61238792211
12965583,1628174828,5778353,28009883,68893461041
12965584,1628174836,3514579,27982531,63834905994
12965585,1628174847,27995820,28009856,57859943527
12965586,1628174882,24437543,27982504,65085187928
12965587,1628174892,17345087,27955179,71159508625
12965588,1628174932,27965446,27982477,73302488209
12965589,1628174987,576511,27955152,82454146349
12965590,1628174988,4461432,27982450,72572485048
12965591,1628174990,429007,27955125,66393605429
12965592,1628174992,27922245,27927827,58349128370
12965593,1628174996,17059495,27900555,65639854344
12965594,1628175005,6122980,27873310,67468569077
12965595,1628175012,27882763,27900529,62740233337
12965596,1628175040,10725104,27873284,70572775414
12965597,1628175052,17194362,27900503,68539940407
12965598,1628175071,3750854,27927748,70532298596
12965599,1628175078,19784503,27900476,64083982604
12965600,1628175086,16016407,27927721,67434130973
12965601,1628175108,1010906,27900449,68673148365
12965602,1628175110,27912529,27927694,60711056639
12965603,1628175135,1058314,27900422,68291697050
12965604,1628175143,22972741,27927667,60402842141
12965605,1628175155,24210057,27900395,65274030157
12965606,1628175192,8874054,27873150,71274863075
12965607,1628175205,2492001,27900368,68038500383
12965608,1628175207,27924693,27927613,61052951049
12965609,1628175224,6720924,27954885,68682974613
12965610,1628175241,15371640,27927587,64225799603
12965611,1628175243,4655628,27900315,65035215240
12965612,1628175276,27868844,27873070,59618863169
12965613,1628175278,368071,27845852,67068961273
12965614,1628175283,27872051,27873044,58906973224
12965615,1628175292,7807453,27845826,66269820224
12965616,1628175295,13060335,27873018,62631299726
12965617,1628175305,1681373,27845800,62139104045
12965618,1628175306,27803410,27818608,55309730137
12965619,1628175329,3091381,27845773,62215892132
12965620,1628175330,27817566,27818581,56165676083
12965621,1628175361,10082386,27845746,63185873777
12965622,1628175364,5215491,27818554,61007223879
12965623,1628175367,27773257,27791389,56240767032
12965624,1628175372,877698,27818528,63261690093
12965625,1628175373,12153891,27791363,55852968740
12965626,1628175396,27804008,27818502,54977839425
12965627,1628175404,3170052,27845667,61842908212
12965628,1628175408,27859499,27872859,55872650144
12965629,1628175420,10647509,27900077,62850036702
12965630,1628175430,13577169,27872832,60990148679
